epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,164.69,0.78903,5.36961,2.67523,1.31679,0.00333,1,0.05497,0.02804,0.00085,0.25397,0.00139,0.00025,0.43,6.07946,2.91855,0.95356,0,0,0
2,172.319,0.88109,5.91294,2.73818,1.34959,0.00333,1,0.05006,0.0263,0.00063,0.19048,0.00088,0.00019,0.43126,6.07528,2.92035,0.95905,1.99802e-05,1.99802e-05,1.99802e-05
3,179.787,0.85797,5.59016,2.71881,1.34104,0.00333,1,0.04785,0.02501,0.0009,0.26984,0.00139,0.00028,0.43268,6.06916,2.92059,0.96156,3.99208e-05,3.99208e-05,3.99208e-05
4,185.494,0.83631,5.83832,2.70959,1.33647,0.00333,1,0.05493,0.02746,0.00101,0.30159,0.00164,0.00031,0.43456,6.06576,2.92079,0.9657,5.98218e-05,5.98218e-05,5.98218e-05
5,189.397,0.76085,5.57411,2.63491,1.36393,0.00333,1,0.05219,0.02599,0.00079,0.2381,0.00132,0.00026,0.43688,6.05208,2.92171,0.97097,7.96832e-05,7.96832e-05,7.96832e-05
6,193.246,0.798,5.37911,2.69131,1.31095,0.00333,1,0.05596,0.02583,0.00074,0.22222,0.00103,0.00018,0.43788,6.04379,2.92258,0.97423,9.9505e-05,9.9505e-05,9.9505e-05
7,197.039,0.85016,5.47262,2.71126,1.39573,0.00333,1,0.05424,0.02613,0.0009,0.26984,0.00144,0.00025,0.43875,6.02313,2.92322,0.97954,0.000119287,0.000119287,0.000119287
8,200.876,0.86609,5.28599,2.70543,1.37455,0.00333,1,0.05566,0.02713,0.0009,0.26984,0.00128,0.00023,0.44012,5.99128,2.92464,0.98181,0.00013903,0.00013903,0.00013903
9,204.607,0.82617,5.39925,2.74304,1.36557,0.00333,1,0.05024,0.02542,0.00095,0.28571,0.00131,0.00023,0.44106,5.98818,2.92534,0.98594,0.000158733,0.000158733,0.000158733
10,208.362,0.83228,5.73574,2.66291,1.3721,0.00333,1,0.04978,0.02564,0.00106,0.31746,0.00142,0.00029,0.44334,5.96145,2.92613,0.99061,0.000178396,0.000178396,0.000178396
11,211.974,0.80986,5.5302,2.72501,1.36363,0.00333,1,0.0497,0.0252,0.00106,0.31746,0.00159,0.00032,0.44251,5.93356,2.92659,0.99001,0.00019802,0.00019802,0.00019802
12,215.752,0.80093,4.9929,2.64886,1.32186,0.00333,1,0.86843,0.42904,0.00333,1,0.50091,0.22739,0.40597,1.54511,2.88308,0.83863,0.000217604,0.000217604,0.000217604
13,219.7,0.51357,2.21934,2.31082,1.11109,0.00333,1,0.90328,0.67786,0.00333,1,0.90328,0.67215,0.31162,0.97345,2.85801,0.8052,0.000237149,0.000237149,0.000237149
14,223.498,0.45894,1.57965,1.8915,1.10944,0.00333,1,0.99438,0.84499,0.00333,1,0.99438,0.83184,0.35696,0.7067,2.77182,0.81627,0.000256654,0.000256654,0.000256654
15,227.38,0.48475,1.13459,1.56667,1.06938,0.00333,1,0.995,0.86816,0.00333,1,0.995,0.84612,0.29973,0.63056,2.66702,0.75375,0.000276119,0.000276119,0.000276119
16,231.138,0.40564,0.93463,1.26629,1.02926,0.00333,1,0.995,0.89321,0.00333,1,0.995,0.84759,0.31785,0.66122,2.56246,0.82143,0.000295545,0.000295545,0.000295545
17,234.978,0.45006,0.9133,1.04645,1.04908,0.00333,1,0.995,0.85852,0.00333,1,0.995,0.84677,0.41478,0.60203,2.56579,0.91417,0.000314931,0.000314931,0.000314931
18,238.862,0.46968,0.8315,1.05279,1.05046,1,0.97841,0.995,0.83881,1,0.97841,0.995,0.8278,0.49829,0.74227,2.36411,1.23702,0.000334278,0.000334278,0.000334278
19,243.107,0.48313,0.67401,1.01495,1.12775,0.99639,1,0.995,0.85003,0.99639,1,0.995,0.80688,0.55514,1.24097,1.81868,1.54724,0.000353585,0.000353585,0.000353585
20,247.329,0.43917,0.62086,0.94423,1.05501,0.99404,1,0.995,0.87308,0.99404,1,0.995,0.75749,0.56836,1.73449,1.97709,1.50737,0.000372852,0.000372852,0.000372852
21,251.641,0.44703,0.694,0.90185,1.04296,0.99565,1,0.995,0.89224,0.99565,1,0.995,0.69847,0.48774,2.08123,2.0377,1.12269,0.00039208,0.00039208,0.00039208
22,255.711,0.41903,0.67343,0.88659,1.01333,0.99485,1,0.995,0.90458,0.99485,1,0.995,0.65395,0.42008,2.47611,1.93485,0.9865,0.000411268,0.000411268,0.000411268
23,259.782,0.49684,0.70503,0.93228,1.07954,0.99718,1,0.995,0.8862,0.99718,1,0.995,0.61854,0.43898,3.14277,1.74961,1.12003,0.000430417,0.000430417,0.000430417
24,263.682,0.46777,0.72212,0.93729,1.09077,0.99444,1,0.995,0.85019,0.99444,1,0.995,0.63668,0.48538,2.76961,1.89283,1.15692,0.000449526,0.000449526,0.000449526
25,267.744,0.45166,0.7092,0.86284,1.03502,0.99298,1,0.995,0.87091,0.99298,1,0.995,0.60055,0.44468,2.91804,2.01982,0.9594,0.000468595,0.000468595,0.000468595
26,271.566,0.422,0.62241,0.83243,1.01796,1,0.98958,0.995,0.86947,1,0.98958,0.995,0.54548,0.53203,3.33489,2.27664,1.20363,0.000487625,0.000487625,0.000487625
27,275.649,0.45019,0.62384,0.83662,1.01098,1,0.9702,0.995,0.88388,1,0.9702,0.995,0.49757,0.53761,4.0629,2.19451,1.27717,0.000506615,0.000506615,0.000506615
28,985.579,0.49018,0.74942,0.83008,1.06004,1,0.94163,0.99484,0.90392,1,0.94163,0.99484,0.31578,0.471,5.78372,2.01525,1.12605,0.000525566,0.000525566,0.000525566
29,1434.07,0.39226,0.60069,0.78467,0.99561,1,0.9743,0.995,0.80031,0.97303,0.90476,0.91994,0.25972,0.57108,6.23575,2.08242,1.30243,0.000544477,0.000544477,0.000544477
30,1810.35,0.36748,0.55992,0.72351,0.98416,0.99439,1,0.995,0.84601,0.93258,0.87827,0.89371,0.22812,0.6075,6.37317,2.05466,1.27444,0.000563348,0.000563348,0.000563348
31,1814.81,0.4275,0.57662,0.75594,1.03597,0.99317,1,0.995,0.8836,0.95844,0.87302,0.89269,0.22183,0.51578,6.82998,1.89278,1.12073,0.00058218,0.00058218,0.00058218
32,2098.46,0.41085,0.5179,0.76247,1.01281,1,0.9961,0.995,0.94599,0.96587,0.89856,0.94025,0.18364,0.34781,7.45992,1.64161,0.83417,0.000600972,0.000600972,0.000600972
33,2101.72,0.46206,0.709,0.78736,1.03641,0.98693,0.98413,0.99469,0.92009,0.59544,0.60317,0.40292,0.0688,0.37872,9.55335,1.54402,0.91727,0.000619725,0.000619725,0.000619725
