center,left,right,steering,throttle,brake,speed
IMG/center_20250825_140941_000000.jpg,,,0.204594,0.000000,0.000000,0.000000
IMG/center_20250825_140941_000001.jpg,,,0.204594,0.000000,0.000000,0.000000
IMG/center_20250825_140941_000002.jpg,,,0.204594,0.000000,0.000000,0.000000
IMG/center_20250825_140941_000003.jpg,,,0.204594,0.000000,0.000000,0.000000
IMG/center_20250825_140941_000004.jpg,,,0.204594,0.000000,0.000000,0.000000
IMG/center_20250825_140941_000005.jpg,,,0.204594,0.000000,0.000000,0.000000
IMG/center_20250825_140941_000006.jpg,,,0.204594,0.000000,0.000000,0.000000
IMG/center_20250825_140941_000007.jpg,,,0.204594,0.000000,0.000000,0.000000
IMG/center_20250825_140941_000008.jpg,,,0.204594,0.000000,0.000000,0.000000
IMG/center_20250825_140941_000009.jpg,,,0.204594,0.000000,0.000000,0.000000
IMG/center_20250825_140941_000010.jpg,,,0.204594,0.000000,0.000000,0.000000
IMG/center_20250825_140941_000011.jpg,,,0.204594,0.000000,0.000000,0.000000
IMG/center_20250825_140941_000012.jpg,,,0.204594,0.000000,0.000000,0.000000
IMG/center_20250825_140941_000013.jpg,,,0.204594,0.000000,0.000000,0.000000
IMG/center_20250825_140941_000014.jpg,,,0.204594,0.000000,0.000000,0.000000
IMG/center_20250825_140941_000015.jpg,,,0.204594,0.100000,0.000000,0.000000
IMG/center_20250825_140941_000016.jpg,,,0.204594,0.100000,0.000000,0.000000
IMG/center_20250825_140941_000017.jpg,,,0.204594,0.100000,0.000000,0.000000
IMG/center_20250825_140941_000018.jpg,,,0.204594,0.100000,0.000000,0.000000
IMG/center_20250825_140941_000019.jpg,,,0.204594,0.100000,0.000000,0.000000
IMG/center_20250825_140941_000020.jpg,,,0.204594,0.100000,0.000000,0.000000
IMG/center_20250825_140941_000021.jpg,,,0.204594,0.100000,0.000000,0.000000
IMG/center_20250825_140941_000022.jpg,,,0.204594,0.100000,0.000000,0.000000
IMG/center_20250825_140941_000023.jpg,,,0.204594,0.100000,0.000000,0.000000
IMG/center_20250825_140941_000024.jpg,,,0.204594,0.100000,0.000000,0.000000
IMG/center_20250825_140941_000025.jpg,,,0.204594,0.100000,0.000000,0.000000
IMG/center_20250825_140941_000026.jpg,,,0.204594,0.100000,0.000000,0.000000
IMG/center_20250825_140941_000027.jpg,,,0.204594,0.100000,0.000000,0.000000
IMG/center_20250825_140941_000028.jpg,,,0.204594,0.100000,0.000000,0.000000
IMG/center_20250825_140941_000029.jpg,,,0.204594,0.100000,0.000000,0.000000
IMG/center_20250825_140941_000030.jpg,,,0.204594,0.100000,0.000000,0.000000
IMG/center_20250825_140941_000031.jpg,,,0.204594,0.100000,0.000000,0.000000
IMG/center_20250825_140941_000032.jpg,,,0.204594,0.100000,0.000000,0.000000
IMG/center_20250825_140941_000033.jpg,,,0.204594,0.100000,0.000000,0.000000
IMG/center_20250825_140941_000034.jpg,,,0.204594,0.100000,0.000000,0.000000
IMG/center_20250825_140941_000035.jpg,,,0.204594,0.100000,0.000000,0.000000
IMG/center_20250825_140941_000036.jpg,,,0.204594,0.100000,0.000000,0.000000
IMG/center_20250825_140941_000037.jpg,,,0.204594,0.100000,0.000000,0.000000
